Historical_N,omega,epsilon_N,Train_Cost,Test_Cost,Service_Level,Time
25,0.0,0.0,205.34934207666663,210.52465285666665,85.98056666666666,0.27715598746666664
25,0.0,0.001,205.35568292666673,210.51890565333335,85.99426666666666,0.2781452259666667
25,0.0,0.003162278,205.36939379333333,210.50651779333333,86.02166666666668,0.27807910436666666
25,0.0,0.01,205.41275305333338,210.46769254666668,86.10916666666665,0.27789165976666663
25,0.0,0.031622777,205.54988597666664,210.3484319366667,86.38926666666667,0.27795104983333335
25,0.0,0.1,205.9836869433333,210.02260294,87.21623333333334,0.2781395832333333
25,0.0,0.316227766,207.35656142,209.30981560666666,89.64853333333332,0.27821709313333337
25,0.0,1.0,211.7091046366667,209.37594754666665,94.8504,0.279049635
25,0.0,3.16227766,225.2783599933333,216.51432385999996,98.26306666666669,0.2798575242
25,0.0,10.0,258.57857768,240.4420009933333,99.05083333333336,0.2767767986
25,0.1,0.0,204.87646709333336,211.14554270666665,85.68656666666666,0.7603498459000001
25,0.1,0.001,204.88280407999997,211.13815298,85.7002,0.7189036686999999
25,0.1,0.003162278,204.89650701333332,211.12222161666668,85.72953333333335,0.6906756957666665
25,0.1,0.01,204.93984096333332,211.07226206666664,85.8201,0.6910680611666666
25,0.1,0.031622777,205.07251628333333,210.92806590333333,86.09899999999998,0.6772947390999999
25,0.1,0.1,205.50071307333337,210.47984033999995,86.99206666666667,0.6714373112333335
25,0.1,0.316227766,206.87336624333332,209.42936521666664,89.55283333333334,0.6669530868333332
25,0.1,1.0,211.17281928666668,208.95518337000001,95.05623333333334,0.6002854507
25,0.1,3.16227766,224.84201983,215.9410058933333,98.64656666666666,0.5882678747
25,0.1,10.0,258.43089592666666,240.20777622333333,99.04086666666667,0.6642720461
25,0.2,0.0,204.76818026666672,211.05853303333333,85.30273333333335,0.7428464333333332
25,0.2,0.001,204.77452626000004,211.05111329000002,85.3161,0.7125202417666666
25,0.2,0.003162278,204.78824771000004,211.03511337666666,85.34636666666667,0.6840744653666667
25,0.2,0.01,204.83164027333336,210.9849119766667,85.43879999999997,0.6836609522333332
25,0.2,0.031622777,204.96879591666664,210.84333123000002,85.72779999999999,0.6755725066333335
25,0.2,0.1,205.40907472000006,210.42321131,86.59713333333335,0.6841628551333334
25,0.2,0.316227766,206.76596267333335,209.36861304999996,89.24256666666663,0.6656362533000002
25,0.2,1.0,211.02847168333338,208.8294334566667,95.01563333333333,0.5838905651999998
25,0.2,3.16227766,224.77312411666668,215.92288073666666,98.60499999999999,0.5849194367333332
25,0.2,10.0,258.5973398633334,240.0870959666667,99.04559999999998,0.6209444840666667
25,0.3,0.0,204.65814584,211.56064385666664,84.61049999999999,0.7454092025666668
25,0.3,0.001,204.66449022,211.55307114333334,84.62383333333332,0.7262182314333334
25,0.3,0.003162278,204.67820874,211.53674246999995,84.65473333333335,0.6984345754333334
25,0.3,0.01,204.71954428666672,211.48546332000004,84.7461,0.6971902052666666
25,0.3,0.031622777,204.8567592866667,211.32663414333328,85.04403333333335,0.6970613002333333
25,0.3,0.1,205.29080350000004,210.86301529,85.9749,0.6931743622
25,0.3,0.316227766,206.60945378333332,209.75204446,88.62076666666667,0.6532974641666666
25,0.3,1.0,210.92086565,209.02983376333336,94.67143333333333,0.6222806056666667
25,0.3,3.16227766,224.68857753999995,215.79663218,98.70256666666666,0.5964760780999999
25,0.3,10.0,258.6691680366667,240.16006289333336,99.01809999999999,0.5944277047999998
25,0.4,0.0,204.63253659666665,211.6663478966667,84.38179999999998,0.7520738680333333
25,0.4,0.001,204.63888210333337,211.65853871,84.39686666666668,0.7447517395666666
25,0.4,0.003162278,204.65230749333335,211.64184860333336,84.42623333333334,0.7111741622333335
25,0.4,0.01,204.69599357333334,211.5892416733333,84.53366666666666,0.7164782842333335
25,0.4,0.031622777,204.83322980666662,211.42651535,84.83769999999998,0.7169020493999998
25,0.4,0.1,205.2674101333333,210.95171528999998,85.78590000000001,0.7169543425333332
25,0.4,0.316227766,206.62953621333332,209.81936199999998,88.53083333333333,0.6949368476999999
25,0.4,1.0,210.84124311333332,209.0520328066667,94.62853333333334,0.6144620338333334
25,0.4,3.16227766,224.58672873000003,215.66536317,98.75396666666666,0.5693535884
25,0.4,10.0,258.53039172666666,240.0390275766667,99.02586666666666,0.5921151558
25,0.5,0.0,204.7560208133333,212.0728994233333,84.02060000000002,0.7598658403
25,0.5,0.001,204.76236339666667,212.06501701333337,84.03433333333335,0.7634137232333333
25,0.5,0.003162278,204.77607812000002,212.0480242033333,84.066,0.7362330357333332
25,0.5,0.01,204.8194501033334,211.99473342333332,84.16103333333334,0.7369123220666666
25,0.5,0.031622777,204.9566232,211.83034225666668,84.45519999999998,0.7377971888
25,0.5,0.1,205.39000634666667,211.34888189,85.37650000000002,0.7323055266666667
25,0.5,0.316227766,206.7535427566667,210.18635439,88.07069999999997,0.7224442323000001
25,0.5,1.0,211.01753265,209.24661069666666,94.28963333333336,0.6435641606333332
25,0.5,3.16227766,224.71117438666667,215.58867345666667,98.97176666666668,0.5830228646000001
25,0.5,10.0,259.54581404333334,240.96890511,99.21019999999999,0.6025146087333334
25,0.6,0.0,204.91347278666666,211.70858993666664,84.0004,0.7617951790333332
25,0.6,0.001,204.91980640000003,211.70096521333332,84.01306666666667,0.7437084992999999
25,0.6,0.003162278,204.93350174666665,211.68452057,84.04303333333333,0.7160542012
25,0.6,0.01,204.97681219666666,211.6334077966667,84.13423333333334,0.7165615319666667
25,0.6,0.031622777,205.11377310999998,211.47592354000005,84.46136666666666,0.7130005915000001
25,0.6,0.1,205.5563644466667,211.01969286666662,85.42053333333334,0.7207757790333333
25,0.6,0.316227766,206.91517096666666,209.90765164666666,88.15880000000001,0.7011972427333333
25,0.6,1.0,211.09912887999997,209.1201761066667,94.16143333333333,0.6409416198333332
25,0.6,3.16227766,224.68975815666667,215.41572775999995,98.9268,0.5596224308333333
25,0.6,10.0,259.9792902333333,241.59255681000002,99.19773333333333,0.5947702328333333
25,0.7,0.0,204.77794285333337,212.04829024333333,83.94966666666667,0.7766702413666666
25,0.7,0.001,204.78424963999998,212.04077780333336,83.96349999999998,0.7413312435
25,0.7,0.003162278,204.7978869433333,212.02458008,83.99136666666666,0.7136755862666667
25,0.7,0.01,204.84101392666665,211.97375234333333,84.0866,0.7134301105666666
25,0.7,0.031622777,204.97741385333333,211.8171728733333,84.37956666666668,0.7133939902333333
25,0.7,0.1,205.40899854666665,211.35353271666665,85.27793333333334,0.7145242055666667
25,0.7,0.316227766,206.76681583666667,210.22857568333336,87.88479999999998,0.6965510765333331
25,0.7,1.0,210.98241232333336,209.3199381433333,93.64416666666668,0.6345472177333332
25,0.7,3.16227766,224.57262301333333,215.37689245333334,99.0219,0.5550182342000001
25,0.7,10.0,262.1260692266667,243.16874682,99.38416666666669,0.5792555889000002
25,0.8,0.0,204.79979293,219.16810712,79.64956666666667,0.7550504684000001
25,0.8,0.001,204.80608137,219.15749842000002,79.66170000000001,0.7211564700666667
25,0.8,0.003162278,204.81967889666663,219.13459087333337,79.68686666666666,0.6939297755999999
25,0.8,0.01,204.86267989666666,219.06236105000002,79.76556666666666,0.6934865633333334
25,0.8,0.031622777,204.99868161,218.83673878000002,80.02380000000001,0.6936829090666665
25,0.8,0.1,205.42895728666664,218.15505660999997,80.84373333333333,0.6937463044666666
25,0.8,0.316227766,206.78828428000003,216.29556897,83.31986666666667,0.6933987139999999
25,0.8,1.0,211.1098369033333,212.90198419999996,89.6901333333333,0.6817637205333332
25,0.8,3.16227766,224.64661939333334,215.67561185333332,98.03469999999997,0.5680836439333333
25,0.8,10.0,263.91323294,246.00069040666665,99.61376666666666,0.5633348783333333
25,0.9,0.0,204.36125411,261.57464766666664,70.10930000000002,0.5783123572333333
25,0.9,0.001,204.36743066,261.5605008233333,70.1165,0.5637001832666667
25,0.9,0.003162278,204.38078625666665,261.5299311866667,70.13370000000002,0.5342226743333333
25,0.9,0.01,204.42302213666665,261.5731556666667,70.17753333333332,0.5347004730666666
25,0.9,0.031622777,204.55660101333334,261.26929712333333,70.33930000000001,0.5348036766333333
25,0.9,0.1,204.97918298,259.9861920866667,70.88136666666668,0.5349154314000001
25,0.9,0.316227766,206.31723715,257.12174088333336,72.42293333333332,0.5353052138666666
25,0.9,1.0,210.56582177333337,249.73517364333333,77.19883333333334,0.5358398994000001
25,0.9,3.16227766,224.1749496666667,234.37084115,87.93566666666668,0.5371962546666667
25,0.9,10.0,267.71808782,246.4801623666667,99.29529999999998,0.5380789757333333
50,0.0,0.0,206.13551843333335,208.36872628999998,88.50833333333335,0.3264625629
50,0.0,0.001,206.14184651,208.36617586333335,88.52023333333334,0.3251738945333333
50,0.0,0.003162278,206.15552976333328,208.36070172000004,88.54803333333331,0.3252992629666666
50,0.0,0.01,206.1988019,208.34371137666668,88.63553333333333,0.32517402963333336
50,0.0,0.031622777,206.33565947999998,208.29319367666668,88.90196666666667,0.32510979976666654
50,0.0,0.1,206.76863808000002,208.16144726333337,89.71223333333332,0.3260267416666666
50,0.0,0.316227766,208.13973683666663,208.02404933666668,92.00583333333333,0.3255434830333333
50,0.0,1.0,212.49278663999996,209.29932735,96.5792,0.3276309411333333
50,0.0,3.16227766,226.30469102333333,216.75487485666662,99.28256666666665,0.32888302006666664
50,0.0,10.0,260.29916253333334,242.02400468666664,99.42343333333334,0.3174080769333333
50,0.1,0.0,205.64746173333333,208.54380201333333,88.53156666666665,1.2844235658333332
50,0.1,0.001,205.65378710000002,208.53999074,88.54486666666666,1.2205720742333332
50,0.1,0.003162278,205.66746382333335,208.53214931,88.57406666666667,1.1912982464333333
50,0.1,0.01,205.71071534000004,208.5062684433333,88.6739,1.1893708627333335
50,0.1,0.031622777,205.84740753333332,208.42879642,88.9592,1.159234341
50,0.1,0.1,206.27024097000003,208.22057958,89.77069999999999,1.1310106992333333
50,0.1,0.316227766,207.61142024666665,207.87209487666664,92.09236666666665,1.0194912751333334
50,0.1,1.0,211.88610169333333,208.82408707666667,96.6723,0.9317757447999999
50,0.1,3.16227766,225.7469826066667,216.15837576,99.368,0.9334679444999999
50,0.1,10.0,260.1933429733333,242.03760921666665,99.42419999999998,1.0241545835666668
50,0.2,0.0,205.46979242999998,209.15473006666664,87.68616666666667,1.1808429003333332
50,0.2,0.001,205.47611608999995,209.1499286033333,87.70023333333334,1.1274261792
50,0.2,0.003162278,205.48979587000002,209.13945498,87.72926666666669,1.0996606271
50,0.2,0.01,205.53305475333335,209.10491942666667,87.83470000000001,1.0993460655333334
50,0.2,0.031622777,205.6700111233333,209.00649718333335,88.11323333333331,1.1114466826
50,0.2,0.1,206.0940220566667,208.73291456333334,88.98423333333335,1.1095710040333335
50,0.2,0.316227766,207.4314201266667,208.19752418,91.39899999999997,1.0690384070333332
50,0.2,1.0,211.69856523000004,208.79639495333333,96.36706666666669,0.930956777
50,0.2,3.16227766,225.60288536333337,216.0349665666667,99.41103333333332,0.9150954882000001
50,0.2,10.0,260.0976798666667,242.17856096333335,99.41603333333335,0.9937397797666667
50,0.3,0.0,205.3978245066666,209.12350266333334,87.19090000000001,1.2684929609666669
50,0.3,0.001,205.40414696666667,209.11861729666674,87.20513333333332,1.2098739465333332
50,0.3,0.003162278,205.41781825,209.1080925733333,87.23350000000002,1.1803522031
50,0.3,0.01,205.46104376,209.07518679333336,87.32923333333332,1.1743671338666668
50,0.3,0.031622777,205.59482953666668,208.97537104666668,87.61483333333332,1.1492056449000003
50,0.3,0.1,206.02285399666667,208.69618292,88.53903333333334,1.1386911234
50,0.3,0.316227766,207.36369495333335,208.14815204666672,91.05673333333334,1.1135647376333333
50,0.3,1.0,211.6135771366667,208.72261371333335,96.2464,0.9414642095333333
50,0.3,3.16227766,225.49135990666664,215.88734315666667,99.41879999999999,0.8897756894666666
50,0.3,10.0,260.04700872666666,242.33001676333336,99.40796666666667,0.9487198592333332
50,0.4,0.0,205.37495412333334,209.07303840333333,86.84133333333334,1.249047994633333
50,0.4,0.001,205.38127812666664,209.06807295000002,86.85523333333335,1.1944609323999997
50,0.4,0.003162278,205.39495257333328,209.05738227666671,86.8851,1.1648180087666666
50,0.4,0.01,205.4381968433333,209.02398343666664,86.98110000000001,1.1651799678333332
50,0.4,0.031622777,205.57346762666663,208.92150724333337,87.27423333333331,1.1631167173333332
50,0.4,0.1,206.00447042333337,208.63814639333336,88.18763333333335,1.1579718271333335
50,0.4,0.316227766,207.34633807,208.0829525066667,90.75326666666666,1.1024101496333334
50,0.4,1.0,211.54838242333332,208.63331612999997,96.05829999999999,0.9435216585333334
50,0.4,3.16227766,225.38799441,215.77117452666667,99.4193,0.8770740032
50,0.4,10.0,259.9604801566667,242.61535993666664,99.41053333333335,0.9280457815333332
50,0.5,0.0,205.4683796,209.28690265000006,86.84319999999998,1.2735308408666663
50,0.5,0.001,205.4746981433333,209.28186671999998,86.8567,1.2223810991333335
50,0.5,0.003162278,205.48836082666674,209.27102582999999,86.88686666666665,1.1935193856333333
50,0.5,0.01,205.5315678866667,209.23719747666664,86.9804,1.1932743629666667
50,0.5,0.031622777,205.66821973333336,209.13410460000003,87.27113333333334,1.193588169466667
50,0.5,0.1,206.09959504666668,208.84702606000005,88.17216666666667,1.200031741433333
50,0.5,0.316227766,207.44122411333333,208.26110096999997,90.68159999999999,1.1518109877333336
50,0.5,1.0,211.58256303666667,208.69932176333333,95.84753333333335,0.9322662433000002
50,0.5,3.16227766,225.36641135333332,215.75494285999997,99.42366666666668,0.8720000823666665
50,0.5,10.0,260.54308079,242.99764245333333,99.39233333333335,0.9815805276333335
50,0.6,0.0,205.53999980333327,209.33723411666662,86.3447,1.2136753320666667
50,0.6,0.001,205.54631497000003,209.33228890666663,86.35806666666666,1.1694885174666667
50,0.6,0.003162278,205.5599703166667,209.32164050666668,86.3874,1.1413967609000004
50,0.6,0.01,205.60794527000002,209.2884100333333,86.48863333333333,1.1624709367666668
50,0.6,0.031622777,205.74449484000004,209.18210678999995,86.80036666666663,1.1513492266999998
50,0.6,0.1,206.17306396666666,208.8955499,87.6863,1.1272204796666665
50,0.6,0.316227766,207.52752108666667,208.3163137,90.24313333333335,1.1196465969
50,0.6,1.0,211.53154794,208.64686073000004,95.2547333333333,0.9265122413000001
50,0.6,3.16227766,225.35338416333335,215.59406377666662,99.41470000000001,0.8652910154
50,0.6,10.0,261.08819094,244.0528162233333,99.46423333333331,0.9132117987333335
50,0.7,0.0,205.58178686,209.37491669666667,86.35606666666668,1.2773387909333331
50,0.7,0.001,205.5880769533333,209.36980218666667,86.3703666666667,1.2272216797000002
50,0.7,0.003162278,205.60167811333335,209.35878752999997,86.39976666666665,1.1977368275999998
50,0.7,0.01,205.6446906533333,209.32432396,86.49343333333334,1.198606205
50,0.7,0.031622777,205.7778613766667,209.21898500666666,86.78233333333334,1.2026967922999998
50,0.7,0.1,206.20799812666667,208.92330363000002,87.69596666666665,1.1880856672000002
50,0.7,0.316227766,207.54064912333334,208.3216719733333,90.19299999999998,1.1491446892666666
50,0.7,1.0,211.55716030333332,208.64954970666668,95.20186666666669,0.9095149835333335
50,0.7,3.16227766,225.30609882666667,215.50778334999998,99.2803,0.8573046207
50,0.7,10.0,262.8502617666667,245.40364586999996,99.60660000000001,0.8816339333333331
50,0.8,0.0,205.70244924333332,213.63525554666666,83.25806666666668,1.2249236424
50,0.8,0.001,205.70872159666663,213.62730728,83.27059999999999,1.1815968434333333
50,0.8,0.003162278,205.72228435666665,213.6101558566666,83.29813333333333,1.1522569576333335
50,0.8,0.01,205.76517538333334,213.55626066333335,83.38593333333334,1.1522387107333332
50,0.8,0.031622777,205.90075448333337,213.39080326333334,83.66326666666666,1.1462993383666666
50,0.8,0.1,206.31341334,212.88845644666668,84.51596666666667,1.1309980631999998
50,0.8,0.316227766,207.66573613666665,211.60706287666665,87.03176666666667,1.1208709080999997
50,0.8,1.0,211.88440695666665,210.12451358,93.02816666666666,1.0610469977
50,0.8,3.16227766,225.38659654333335,215.48774276999998,98.90493333333333,0.8589897473333331
50,0.8,10.0,264.26264946333333,248.03847293,99.77393333333332,0.8445751268666668
50,0.9,0.0,204.84064992,262.48869948666663,71.275,0.8643292267666667
50,0.9,0.001,204.84683540999998,262.29208674666666,71.29436666666668,0.8476759354666666
50,0.9,0.003162278,204.8602103733333,262.26181268,71.31036666666665,0.8180712382333334
50,0.9,0.01,204.90250748666665,262.3484554166667,71.34776666666669,0.8176510571666668
50,0.9,0.031622777,205.03628005000002,261.2162498266667,71.61959999999999,0.8189929167666669
50,0.9,0.1,205.4594757066666,260.80045597000003,72.08976666666666,0.8177360693333333
50,0.9,0.316227766,206.7994669866667,253.52074668333333,74.05623333333332,0.8201536973666668
50,0.9,1.0,211.0539349266667,249.71633682666663,78.1024,0.8198044458333332
50,0.9,3.16227766,224.6808329633333,235.2638686466667,88.31180000000002,0.8233018001333332
50,0.9,10.0,268.16928866999996,248.98032643333335,99.39983333333333,0.8229978243333332
100,0.0,0.0,206.55132487666663,207.67819483999997,89.72083333333333,0.4319942951333334
100,0.0,0.001,206.55765042000002,207.67659885999998,89.7329,0.4318095444999999
100,0.0,0.003162278,206.57132822333332,207.67318282333335,89.75999999999999,0.4323136965666667
100,0.0,0.01,206.61458316999997,207.66271597666668,89.84856666666666,0.43099984320000007
100,0.0,0.031622777,206.75138593000003,207.63241409,90.10740000000003,0.4311469873
100,0.0,0.1,207.18418952333334,207.5668480633333,90.9224,0.43159635856666667
100,0.0,0.316227766,208.5547914966667,207.6169151,93.13483333333333,0.4325549682333334
100,0.0,1.0,212.90812345999996,209.24163926333333,97.28306666666664,0.4335767825333333
100,0.0,3.16227766,226.77530267333336,216.72004764333332,99.52113333333332,0.4355227469
100,0.0,10.0,260.96120924666667,242.71372082,99.44906666666665,0.40816348393333335
100,0.1,0.0,206.06316657333335,207.92215058666667,89.40703333333335,2.2234178302666665
100,0.1,0.001,206.06948713666665,207.91908098000005,89.42043333333332,2.127710827233334
100,0.1,0.003162278,206.08315188999998,207.91248785333335,89.44970000000002,2.0920238097
100,0.1,0.01,206.1259776766666,207.89201711666666,89.53723333333333,2.0694675445666673
100,0.1,0.031622777,206.26253061333333,207.83137674333335,89.8005,2.0658558289333335
100,0.1,0.1,206.69455887666666,207.6760584733333,90.63263333333335,2.0171582222
100,0.1,0.316227766,208.00909524999997,207.48868159,92.93936666666667,1.8584285895000001
100,0.1,1.0,212.29126097333335,208.77061648000003,97.18686666666667,1.5856583833333333
100,0.1,3.16227766,226.19656163333335,216.2222638966667,99.5908,1.5724313893666666
100,0.1,10.0,260.8871470466667,242.65561046999997,99.44346666666667,1.8584098180333335
100,0.2,0.0,205.9577335733333,208.05167933999994,88.93650000000002,2.138388864133333
100,0.2,0.001,205.96416524666668,208.0482314633333,88.94966666666666,2.057112661966667
100,0.2,0.003162278,205.9778256333333,208.04119913999995,88.9772,2.0240798791333336
100,0.2,0.01,206.0208152633333,208.01938881666666,89.06830000000001,2.016941404366667
100,0.2,0.031622777,206.15163343000003,207.9539436,89.33266666666667,2.0054897864666668
100,0.2,0.1,206.5811872,207.78258889333333,90.19139999999999,1.9587346952
100,0.2,0.316227766,207.92490393,207.54604387666663,92.60426666666665,1.8427324374333331
100,0.2,1.0,212.15736767333334,208.72267310333336,97.08563333333333,1.5578913926666664
100,0.2,3.16227766,226.08678482,216.12035932666666,99.59719999999999,1.5655754725000002
100,0.2,10.0,260.8642165233333,242.84272741999996,99.4467,1.8129387060666666
100,0.3,0.0,205.87403136999998,208.17055014333334,88.4034,2.2142369429
100,0.3,0.001,205.88034735000002,208.16687670000005,88.41740000000001,2.1729523897666665
100,0.3,0.003162278,205.89400446333335,208.15897964333337,88.44656666666667,2.1448815743333336
100,0.3,0.01,205.93719423000002,208.1344728566667,88.5381,2.140734728166666
100,0.3,0.031622777,206.07326160999997,208.06264550666666,88.82420000000002,2.1242768605333335
100,0.3,0.1,206.49808455999997,207.86786054333334,89.67623333333333,2.0995602766333334
100,0.3,0.316227766,207.8612358933333,207.57700931000005,92.1953,2.015721821766667
100,0.3,1.0,212.03052270333333,208.64572969333338,96.86300000000003,1.5717350324000001
100,0.3,3.16227766,225.9556829466667,216.01274886666673,99.58736666666668,1.573760080333333
100,0.3,10.0,260.6181052133333,242.7765622,99.42373333333333,1.7214176097333334
100,0.4,0.0,205.85636194000003,208.35983593666666,87.9528,2.2276243606333335
100,0.4,0.001,205.8626802933333,208.3558743933333,87.96596666666667,2.1795096794333335
100,0.4,0.003162278,205.87634250999997,208.34734603666664,87.99463333333331,2.1513046265000004
100,0.4,0.01,205.91954813000004,208.32084785666666,88.0882,2.1499262174333333
100,0.4,0.031622777,206.05617187333337,208.24117409,88.37993333333333,2.136985659633333
100,0.4,0.1,206.48843179666665,208.0251711233333,89.27363333333332,2.1663171847333333
100,0.4,0.316227766,207.82624909333333,207.67652407000006,91.72913333333331,2.0166207789666672
100,0.4,1.0,211.94441568,208.58916017,96.60516666666668,1.5672095458333335
100,0.4,3.16227766,225.86634051000004,215.88733404666667,99.59286666666665,1.5628922143999995
100,0.4,10.0,260.5525079033333,243.3272446566667,99.42646666666668,1.6979014556333334
100,0.5,0.0,206.02500328333338,208.10855231,88.18226666666668,2.2754301866666666
100,0.5,0.001,206.03131607000003,208.10507612333336,88.19623333333334,2.213481187866667
100,0.5,0.003162278,206.04442933999997,208.09754419,88.22720000000001,2.1825944265000006
100,0.5,0.01,206.08753451666664,208.07406243333332,88.32183333333334,2.1865207195333336
100,0.5,0.031622777,206.2229693866667,208.00439190999998,88.61573333333332,2.2236418962666664
100,0.5,0.1,206.65394246666668,207.82019300000002,89.496,2.180945587133333
100,0.5,0.316227766,207.9226830033334,207.54622221333335,91.7443,1.9230219125999999
100,0.5,1.0,211.99566081333336,208.52478291000003,96.43589999999999,1.5477234363666668
100,0.5,3.16227766,225.90925774000002,215.8163836933333,99.55183333333333,1.5460550467333332
100,0.5,10.0,260.93855461333334,244.27728277000003,99.4626,1.5962252140666666
100,0.6,0.0,206.22691225333332,208.03070209000003,88.26666666666665,2.3285018603000003
100,0.6,0.001,206.23321728,208.02736107,88.28056666666664,2.2659982045333336
100,0.6,0.003162278,206.24683599666668,208.02017851,88.30919999999999,2.2274007558333335
100,0.6,0.01,206.28735862333335,207.99779735,88.39576666666666,2.231830144
100,0.6,0.031622777,206.42330240000004,207.93203445333336,88.70863333333334,2.2197404305666666
100,0.6,0.1,206.85448983999999,207.75598000000002,89.59963333333334,2.210334785766667
100,0.6,0.316227766,208.17423748333331,207.51397147333333,91.95093333333331,1.9854080915666663
100,0.6,1.0,212.08123853666672,208.52164651,96.24946666666665,1.5217325131333332
100,0.6,3.16227766,225.96451301,215.74760057333333,99.51713333333332,1.5197368144333332
100,0.6,10.0,261.44904907333336,245.45425717666663,99.50583333333334,1.5147538662666666
100,0.7,0.0,206.11967132,208.01139118333336,88.00236666666665,2.286938023566667
100,0.7,0.001,206.12595378666668,208.00808482666665,88.01523333333331,2.1810241540666664
100,0.7,0.003162278,206.13953839666667,208.0009705566667,88.04433333333333,2.1526586373333334
100,0.7,0.01,206.1824986166667,207.97880124999998,88.13390000000001,2.152225899666667
100,0.7,0.031622777,206.31846987000003,207.9122161466667,88.43216666666666,2.169826293033333
100,0.7,0.1,206.7532577,207.73854366333327,89.3252,2.1683707237333336
100,0.7,0.316227766,208.08625776666673,207.4916426766667,91.75043333333333,2.033213599533333
100,0.7,1.0,211.9788847766667,208.47826918666664,95.94946666666665,1.4846254746333338
100,0.7,3.16227766,225.80996805333334,215.66208960333333,99.39460000000001,1.4809383948666661
100,0.7,10.0,262.99606220333334,246.85426360000002,99.64023333333336,1.4676146825666667
100,0.8,0.0,206.2569239866666,210.08200800000003,85.71796666666665,2.1762834150333332
100,0.8,0.001,206.26319542333331,210.0766907566667,85.73113333333332,2.1010297616666667
100,0.8,0.003162278,206.27675623333332,210.06521304666663,85.76136666666666,2.074106605866666
100,0.8,0.01,206.3168549,210.0290586066667,85.85456666666667,2.048976357833333
100,0.8,0.031622777,206.45247973333332,209.91857186000001,86.13536666666666,2.0535739501666663
100,0.8,0.1,206.8837722066667,209.60170565666667,86.98563333333331,2.0553948561000004
100,0.8,0.316227766,208.24030126333335,208.9267492766667,89.46603333333336,2.025796699566667
100,0.8,1.0,212.41068670333334,209.0572616,94.71966666666667,1.7612661202333333
100,0.8,3.16227766,225.90776045333334,215.5906275333333,99.11930000000001,1.4662917694333335
100,0.8,10.0,264.73492586333333,249.74578466000003,99.80993333333332,1.4579746008
100,0.9,0.0,205.18681679000002,250.6012491766667,73.88323333333334,1.4941304365333334
100,0.9,0.001,205.19300518666668,252.67291942666668,73.65833333333333,1.4639106829999997
100,0.9,0.003162278,205.2063869966667,249.9203053766667,73.83449999999999,1.4281263113333336
100,0.9,0.01,205.24870516666667,245.39078729999997,74.6386666666667,1.4449734449333334
100,0.9,0.031622777,205.38254329,250.32552108000002,74.02883333333332,1.4256328264
100,0.9,0.1,205.80594951666666,244.94226694000002,75.29746666666666,1.4677346864666667
100,0.9,0.316227766,207.14658488666663,246.1809307033333,76.63616666666667,1.4371184031666664
100,0.9,1.0,211.40325001000002,234.50250710000006,82.23513333333334,1.5615524530333331
100,0.9,3.16227766,225.03793926666665,229.13231506999998,90.6176,1.4589527606666663
100,0.9,10.0,268.50395762,251.4902688766667,99.90353333333333,1.4377258221666664
